study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP053360	SRX869238	GSM1604059: sRNAs from untreated Mutu-I cell line; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840026	GSM1604059	Illumina Genome Analyzer IIx	22353665	553986043	SRR1793804	22353665	804731940
SRP049391	SRX747074	GSM1534027: SLKK_polyA_mRNAseq_rep3 [mRNA]; Homo sapiens; Human gammaherpesvirus 8; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS733648	GSM1534027	Illumina HiSeq 2000	51893645	3723061144	SRR1634774	51893645	5293151790
SRP049391	SRX747073	GSM1534026: SLKK_polyA_mRNAseq_rep2 [mRNA]; Homo sapiens; Human gammaherpesvirus 8; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS733647	GSM1534026	Illumina HiSeq 2000	50685565	3648381464	SRR1634773	50685565	5169927630
SRP049391	SRX747072	GSM1534025: SLKK_polyA_mRNAseq_rep1 [mRNA]; Homo sapiens; Human gammaherpesvirus 8; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS733646	GSM1534025	Illumina HiSeq 2000	59392657	4232789701	SRR1634772	59392657	6058051014
SRP049389	SRX747065	GSM1534021: SLKK_microRNAseq_rep3 [microRNA]; Homo sapiens; Human gammaherpesvirus 8; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS733639	GSM1534021	Illumina HiSeq 2000	12883495	588329452	SRR1634761	12883495	1314116490
SRP049389	SRX747064	GSM1534020: SLKK_microRNAseq_rep2 [microRNA]; Homo sapiens; Human gammaherpesvirus 8; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS733638	GSM1534020	Illumina HiSeq 2000	10711565	575807338	SRR1634760	10711565	1092579630
SRP049389	SRX747063	GSM1534019: SLKK_microRNAseq_rep1 [microRNA]; Homo sapiens; Human gammaherpesvirus 8; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS733637	GSM1534019	Illumina HiSeq 2000	7585674	453308761	SRR1634759	7585674	773738748
SRP048931	SRX732922	GSM1525541: KSHV Transcriptome at 96hpi in CD14+ cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721710	GSM1525541	Illumina HiSeq 2000	2747895	80834685	SRR1612555	2747895	140142645
SRP048931	SRX732921	GSM1525540: KSHV Transcriptome at 72hpi in CD14+ cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721709	GSM1525540	Illumina HiSeq 2000	2362026	70274471	SRR1612554	2362026	120463326
SRP048931	SRX732920	GSM1525539: KSHV Transcriptome at 48hpi in CD14+ cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721708	GSM1525539	Illumina HiSeq 2000	1956148	58360439	SRR1612553	1956148	99763548
SRP048931	SRX732919	GSM1525538: KSHV Transcriptome at 24hpi in CD14+ cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721707	GSM1525538	Illumina HiSeq 2000	2570730	73494838	SRR1612552	2570730	131107230
SRP048931	SRX732918	GSM1525537: KSHV Transcriptome at 4hpi in CD14+ cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721706	GSM1525537	Illumina HiSeq 2000	5160807	146912840	SRR1612551	5160807	263201157
SRP048930	SRX732917	GSM1525554: KSHV Transcriptome in virions produced from 293L with BAC36 deleted ORF59 complemented with DsREd ORF59; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721705	GSM1525554	Illumina HiSeq 2000	23507055	738377406	SRR1612549	23507055	1175352750
SRP048930	SRX732916	GSM1525553: KSHV Transcriptome packaged in the virions produced from 293L with BAC36; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721704	GSM1525553	Illumina HiSeq 2000	21766314	683665535	SRR1612548	21766314	1088315700
SRP048930	SRX732915	GSM1525552: KSHV Transcriptome packaged in virions produced from BCBL1 cells; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721703	GSM1525552	Illumina HiSeq 2000	8212183	260795798	SRR1612547	8212183	418821333
SRP048929	SRX732914	GSM1525551: KSHV Transcriptome at 120hpi in TIVE; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721702	GSM1525551	Illumina HiSeq 2000	3565105	88722753	SRR1612546	3565105	181820355
SRP048929	SRX732913	GSM1525550: KSHV Transcriptome at 72hpi in TIVE; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721701	GSM1525550	Illumina HiSeq 2000	3396014	81554066	SRR1612545	3396014	173196714
SRP048929	SRX732912	GSM1525549: KSHV Transcriptome at 48hpi in TIVE; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721700	GSM1525549	Illumina HiSeq 2000	3976688	104168805	SRR1612544	3976688	202811088
SRP048929	SRX732911	GSM1525548: KSHV Transcriptome at 24hpi in TIVE; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721699	GSM1525548	Illumina HiSeq 2000	3645107	93878708	SRR1612543	3645107	185900457
SRP048929	SRX732910	GSM1525547: KSHV Transcriptome at 4hpi in TIVE; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721698	GSM1525547	Illumina HiSeq 2000	3820112	96346732	SRR1612542	3820112	194825712
SRP048928	SRX732909	GSM1525546: KSHV Transcriptome at 120hpi; Human gammaherpesvirus 8; RNA-Seq	37296	Human gammaherpesvirus 8	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS721696	GSM1525546	Illumina HiSeq 2000	1689635	41589106	SRR1612541	1689635	86171385
